Date,Open,High,Low,Close,Volume
2011-09-15,10107.85,10369.41,10107.85,10324.08,278286080
2011-09-16,10324.11,10442.38,10317.04,10428.17,510637792
2011-09-19,10428.26,10428.26,10184.53,10229.01,217133440
2011-09-20,10228.94,10345.79,10173.45,10308.58,230872080
2011-09-21,10308.65,10348.66,10250.5,10266,236528528
2011-09-22,10266.18,10266.18,9869.37,9888.26,314443424
2011-09-23,9888.13,9941.7,9638.77,9815.5,268795616
2011-09-26,9815.47,9953.24,9680.35,9839.24,251882688
2011-09-27,9839.23,10127.13,9839.23,10127.13,281197440
2011-09-28,10127.2,10147.59,9999.58,10038.67,228636128
2011-09-29,10038.73,10038.73,9948.44,9985.45,203603392
2011-09-30,9985.63,9985.71,9779.1,9819.39,251992688
2011-10-03,9819.53,9819.53,9624.43,9750.56,198785696
2011-10-04,9750.54,9750.54,9388.57,9425.93,325532384
2011-10-05,9425.87,9609.85,9425.87,9567.84,262259984
2011-10-06,9567.83,9895.62,9567.83,9888.56,340923360
2011-10-07,9888.39,9994.21,9837.82,9957.98,342917088
2011-10-10,9957.99,10142.83,9953.18,10140.76,269461184
2011-10-11,10140.84,10174.98,10070.09,10155.08,235513760
2011-10-12,10155.08,10325.32,10078.9,10320,331597504
2011-10-13,10320.07,10377.18,10199.16,10230.52,308669088
2011-10-14,10230.48,10380.39,10195.55,10338.51,245217984
2011-10-17,10338.49,10455.62,10197.51,10250.39,208284864
2011-10-18,10250.36,10250.56,10104.46,10178.89,204265680
2011-10-19,10178.73,10284.45,10178.73,10231.83,243929072
2011-10-20,10231.97,10237.13,10067.07,10111.14,263147216
2011-10-21,10111.03,10293.8,10111.03,10265.49,195159568
2011-10-24,10265.45,10472.38,10265.45,10469.09,212685312
2011-10-25,10469.08,10507.16,10344.35,10428.37,213477712
2011-10-26,10428.25,10472.18,10347.14,10422.38,226459376
2011-10-27,10422.26,10775.4,10422.26,10733.34,335053920
2011-10-28,10733.33,10816.69,10686.39,10773.07,227763136
2011-10-31,10773.2,10773.2,10479.74,10479.74,238106368
2011-11-01,10479.84,10479.84,10090.89,10167.6,299949792
2011-11-02,10167.53,10328.9,10126.89,10251.65,301514528
2011-11-03,10251.73,10416.14,10136.86,10406.67,283499808
2011-11-04,10406.65,10448.44,10348.98,10387.8,233111760
2011-11-07,10387.84,10387.84,10193.97,10302.24,204602064
2011-11-08,10302.2,10467.62,10292.12,10419.34,218943184
2011-11-09,10419.34,10494.53,10217.82,10268.87,289841408
2011-11-10,10268.92,10301.62,10099.68,10187.44,258279664
2011-11-11,10187.46,10393.4,10186.93,10389.3,311184096
2011-11-14,10389.35,10470.03,10315.3,10347.76,319272064
2011-11-15,10347.67,10348.17,10195.45,10260.11,261476832
2011-11-16,10260.18,10372.01,10216.04,10275.56,298451680
2011-11-17,10275.62,10276.06,10075.34,10150.28,280140864
2011-11-18,10150.22,10150.22,10010.43,10044.36,241926592
2011-11-21,10044.43,10044.43,9758.46,9767.88,272798080
2011-11-22,9767.84,9870.61,9700.33,9703.13,519939360
2011-11-23,9703.24,9720.54,9550.6,9568.78,435650816
2011-11-24,9568.73,9672.01,9545.42,9601.89,351420544
2011-11-25,9601.92,9697.65,9504.24,9640.29,436862400
2011-11-28,9640.37,9908.53,9640.37,9908.46,425191168
2011-11-29,9908.53,10059.6,9872.06,10031.58,327272064
2011-11-30,10031.73,10315.29,9913.76,10315.29,497502720
2011-12-01,10315.46,10358.37,10203.75,10203.75,358797152
2011-12-02,10203.74,10346.32,10203.74,10307.32,287012960
2011-12-05,10307.21,10420.49,10307.21,10368.26,253988976
2011-12-06,10368.38,10368.38,10273.58,10312.28,234296496
2011-12-07,10312.23,10419.13,10208.88,10280.17,308935488
2011-12-08,10280.15,10357.27,10086.07,10086.07,306129632
2011-12-09,10086.14,10177.43,10022.02,10130.57,272715392
2011-12-12,10130.71,10130.93,9901.15,9901.15,212339008
2011-12-13,9901.14,10037.28,9895.52,9961.04,235088672
2011-12-14,9961.12,9961.12,9718.35,9744.23,309870400
2011-12-15,9744.15,9835.25,9713.1,9827.28,281808640
2011-12-16,9827.23,9892.95,9800.74,9808.15,397683328
2011-12-19,9803.2,9833.17,9717.54,9748.44,200924528
2011-12-20,9748.41,9877.57,9728.97,9868.44,178666832
2011-12-21,9868.37,9974.63,9842.1,9843.04,185685792
2011-12-22,9843.04,9939.69,9842.98,9903.56,150015296
2011-12-23,9903.53,9984.48,9903.53,9984.16,55775988
2011-12-28,9984.2,10067.45,9948,10013.17,117758304
